output_table	column	type	source_table	source_columns	join_keys	transform	window	leakage_note
train_user_day_nowcast	distortion_total_mean_today	float	cbt_session	started_at + session fields	user_id,date	date=floor(started_at); groupby(user_id,date) agg		
train_user_day_nowcast	challenges_today	float	challenge_day	completed_flag, completion_quality_0_5, perceived_helpfulness_0_10, challenge_id	user_id,date	groupby(user_id,date) agg (nunique/mean)		
train_user_day_nowcast	challenge_completed_rate_today	float	challenge_day	completed_flag, completion_quality_0_5, perceived_helpfulness_0_10, challenge_id	user_id,date	groupby(user_id,date) agg (nunique/mean)		
train_user_day_nowcast	challenge_completion_quality_mean_today	float	challenge_day	completed_flag, completion_quality_0_5, perceived_helpfulness_0_10, challenge_id	user_id,date	groupby(user_id,date) agg (nunique/mean)		
train_user_day_nowcast	challenge_helpfulness_mean_today	float	challenge_day	completed_flag, completion_quality_0_5, perceived_helpfulness_0_10, challenge_id	user_id,date	groupby(user_id,date) agg (nunique/mean)		
train_user_day_nowcast	activity_present_today_flag	int	derived	steps_today/exercise_minutes_today/daylight_minutes_today	user_id,date	1 if any not null else 0		
train_user_day_nowcast	sleep_present_today_flag	int	derived	sleep_log (today rows)	user_id,date	1 if any sleep core metric present today else 0		ins target 관측여부와 강하게 연관(운영 로직에서 ins는 sleep 있으면 계산으로 대체 가능)
train_user_day_nowcast	checkin_present_today_flag	int	derived	daily_checkin (today)	user_id,date	1 if any core checkin metric present today else 0		
train_user_day_nowcast	cbt_present_today_flag	int	derived	cbt_sessions_today	user_id,date	1 if cbt_sessions_today>0 else 0		
train_user_day_nowcast	challenge_present_today_flag	int	derived	challenges_today	user_id,date	1 if challenges_today>0 else 0		
train_user_day_nowcast	steps_lag1	float	derived(user_id time-series)	steps_today OR daily_checkin.steps_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	steps_lag1 = shift(steps_today,1)	lag(1 day, same user)	
train_user_day_nowcast	steps_mean_7d	float	derived(user_id time-series)	steps_today OR daily_checkin.steps_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	steps_mean_7d = mean(shift(steps_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	
train_user_day_nowcast	steps_std_7d	float	derived(user_id time-series)	steps_today OR daily_checkin.steps_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	steps_std_7d = std(shift(steps_today,1) over past 7d)	rolling 7 days excluding today (min 2)	
train_user_day_nowcast	steps_misscnt_7d	float	derived(user_id time-series)	steps_today OR daily_checkin.steps_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	steps_misscnt_7d = count(isnull(shift(steps_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	steps_days_7d	float	derived(user_id time-series)	steps_today OR daily_checkin.steps_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	steps_days_7d = count(notnull(shift(steps_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	exercise_minutes_lag1	float	derived(user_id time-series)	exercise_minutes_today OR daily_checkin.exercise_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	exercise_minutes_lag1 = shift(exercise_minutes_today,1)	lag(1 day, same user)	
train_user_day_nowcast	exercise_minutes_mean_7d	float	derived(user_id time-series)	exercise_minutes_today OR daily_checkin.exercise_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	exercise_minutes_mean_7d = mean(shift(exercise_minutes_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	
train_user_day_nowcast	exercise_minutes_std_7d	float	derived(user_id time-series)	exercise_minutes_today OR daily_checkin.exercise_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	exercise_minutes_std_7d = std(shift(exercise_minutes_today,1) over past 7d)	rolling 7 days excluding today (min 2)	
train_user_day_nowcast	exercise_minutes_misscnt_7d	float	derived(user_id time-series)	exercise_minutes_today OR daily_checkin.exercise_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	exercise_minutes_misscnt_7d = count(isnull(shift(exercise_minutes_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	exercise_minutes_days_7d	float	derived(user_id time-series)	exercise_minutes_today OR daily_checkin.exercise_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	exercise_minutes_days_7d = count(notnull(shift(exercise_minutes_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	daylight_minutes_lag1	float	derived(user_id time-series)	daylight_minutes_today OR daily_checkin.daylight_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	daylight_minutes_lag1 = shift(daylight_minutes_today,1)	lag(1 day, same user)	
train_user_day_nowcast	daylight_minutes_mean_7d	float	derived(user_id time-series)	daylight_minutes_today OR daily_checkin.daylight_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	daylight_minutes_mean_7d = mean(shift(daylight_minutes_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	
train_user_day_nowcast	daylight_minutes_std_7d	float	derived(user_id time-series)	daylight_minutes_today OR daily_checkin.daylight_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	daylight_minutes_std_7d = std(shift(daylight_minutes_today,1) over past 7d)	rolling 7 days excluding today (min 2)	
train_user_day_nowcast	daylight_minutes_misscnt_7d	float	derived(user_id time-series)	daylight_minutes_today OR daily_checkin.daylight_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	daylight_minutes_misscnt_7d = count(isnull(shift(daylight_minutes_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	daylight_minutes_days_7d	float	derived(user_id time-series)	daylight_minutes_today OR daily_checkin.daylight_minutes_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	daylight_minutes_days_7d = count(notnull(shift(daylight_minutes_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	screen_time_min_lag1	float	derived(user_id time-series)	screen_time_min_today OR daily_checkin.screen_time_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	screen_time_min_lag1 = shift(screen_time_min_today,1)	lag(1 day, same user)	
train_user_day_nowcast	screen_time_min_mean_7d	float	derived(user_id time-series)	screen_time_min_today OR daily_checkin.screen_time_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	screen_time_min_mean_7d = mean(shift(screen_time_min_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	
train_user_day_nowcast	screen_time_min_std_7d	float	derived(user_id time-series)	screen_time_min_today OR daily_checkin.screen_time_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	screen_time_min_std_7d = std(shift(screen_time_min_today,1) over past 7d)	rolling 7 days excluding today (min 2)	
train_user_day_nowcast	screen_time_min_misscnt_7d	float	derived(user_id time-series)	screen_time_min_today OR daily_checkin.screen_time_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	screen_time_min_misscnt_7d = count(isnull(shift(screen_time_min_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	screen_time_min_days_7d	float	derived(user_id time-series)	screen_time_min_today OR daily_checkin.screen_time_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	screen_time_min_days_7d = count(notnull(shift(screen_time_min_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	meal_regularity_0_10_lag1	float	derived(user_id time-series)	meal_regularity_0_10_today OR daily_checkin.meal_regularity_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	meal_regularity_0_10_lag1 = shift(meal_regularity_0_10_today,1)	lag(1 day, same user)	
train_user_day_nowcast	meal_regularity_0_10_mean_7d	float	derived(user_id time-series)	meal_regularity_0_10_today OR daily_checkin.meal_regularity_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	meal_regularity_0_10_mean_7d = mean(shift(meal_regularity_0_10_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	
train_user_day_nowcast	meal_regularity_0_10_std_7d	float	derived(user_id time-series)	meal_regularity_0_10_today OR daily_checkin.meal_regularity_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	meal_regularity_0_10_std_7d = std(shift(meal_regularity_0_10_today,1) over past 7d)	rolling 7 days excluding today (min 2)	
train_user_day_nowcast	meal_regularity_0_10_misscnt_7d	float	derived(user_id time-series)	meal_regularity_0_10_today OR daily_checkin.meal_regularity_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	meal_regularity_0_10_misscnt_7d = count(isnull(shift(meal_regularity_0_10_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	meal_regularity_0_10_days_7d	float	derived(user_id time-series)	meal_regularity_0_10_today OR daily_checkin.meal_regularity_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	meal_regularity_0_10_days_7d = count(notnull(shift(meal_regularity_0_10_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	sleep_duration_min_lag1	float	derived(user_id time-series)	sleep_duration_min_today OR daily_checkin.sleep_duration_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_duration_min_lag1 = shift(sleep_duration_min_today,1)	lag(1 day, same user)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_duration_min_mean_7d	float	derived(user_id time-series)	sleep_duration_min_today OR daily_checkin.sleep_duration_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_duration_min_mean_7d = mean(shift(sleep_duration_min_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_duration_min_std_7d	float	derived(user_id time-series)	sleep_duration_min_today OR daily_checkin.sleep_duration_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_duration_min_std_7d = std(shift(sleep_duration_min_today,1) over past 7d)	rolling 7 days excluding today (min 2)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_duration_min_misscnt_7d	float	derived(user_id time-series)	sleep_duration_min_today OR daily_checkin.sleep_duration_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_duration_min_misscnt_7d = count(isnull(shift(sleep_duration_min_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_duration_min_days_7d	float	derived(user_id time-series)	sleep_duration_min_today OR daily_checkin.sleep_duration_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_duration_min_days_7d = count(notnull(shift(sleep_duration_min_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_onset_latency_min_lag1	float	derived(user_id time-series)	sleep_onset_latency_min_today OR daily_checkin.sleep_onset_latency_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_onset_latency_min_lag1 = shift(sleep_onset_latency_min_today,1)	lag(1 day, same user)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_onset_latency_min_mean_7d	float	derived(user_id time-series)	sleep_onset_latency_min_today OR daily_checkin.sleep_onset_latency_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_onset_latency_min_mean_7d = mean(shift(sleep_onset_latency_min_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_onset_latency_min_std_7d	float	derived(user_id time-series)	sleep_onset_latency_min_today OR daily_checkin.sleep_onset_latency_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_onset_latency_min_std_7d = std(shift(sleep_onset_latency_min_today,1) over past 7d)	rolling 7 days excluding today (min 2)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_onset_latency_min_misscnt_7d	float	derived(user_id time-series)	sleep_onset_latency_min_today OR daily_checkin.sleep_onset_latency_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_onset_latency_min_misscnt_7d = count(isnull(shift(sleep_onset_latency_min_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_onset_latency_min_days_7d	float	derived(user_id time-series)	sleep_onset_latency_min_today OR daily_checkin.sleep_onset_latency_min_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_onset_latency_min_days_7d = count(notnull(shift(sleep_onset_latency_min_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	awakenings_count_lag1	float	derived(user_id time-series)	awakenings_count_today OR daily_checkin.awakenings_count_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	awakenings_count_lag1 = shift(awakenings_count_today,1)	lag(1 day, same user)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	awakenings_count_mean_7d	float	derived(user_id time-series)	awakenings_count_today OR daily_checkin.awakenings_count_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	awakenings_count_mean_7d = mean(shift(awakenings_count_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	awakenings_count_std_7d	float	derived(user_id time-series)	awakenings_count_today OR daily_checkin.awakenings_count_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	awakenings_count_std_7d = std(shift(awakenings_count_today,1) over past 7d)	rolling 7 days excluding today (min 2)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	awakenings_count_misscnt_7d	float	derived(user_id time-series)	awakenings_count_today OR daily_checkin.awakenings_count_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	awakenings_count_misscnt_7d = count(isnull(shift(awakenings_count_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	awakenings_count_days_7d	float	derived(user_id time-series)	awakenings_count_today OR daily_checkin.awakenings_count_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	awakenings_count_days_7d = count(notnull(shift(awakenings_count_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_quality_0_10_lag1	float	derived(user_id time-series)	sleep_quality_0_10_today OR daily_checkin.sleep_quality_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_quality_0_10_lag1 = shift(sleep_quality_0_10_today,1)	lag(1 day, same user)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_quality_0_10_mean_7d	float	derived(user_id time-series)	sleep_quality_0_10_today OR daily_checkin.sleep_quality_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_quality_0_10_mean_7d = mean(shift(sleep_quality_0_10_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_quality_0_10_std_7d	float	derived(user_id time-series)	sleep_quality_0_10_today OR daily_checkin.sleep_quality_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_quality_0_10_std_7d = std(shift(sleep_quality_0_10_today,1) over past 7d)	rolling 7 days excluding today (min 2)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_quality_0_10_misscnt_7d	float	derived(user_id time-series)	sleep_quality_0_10_today OR daily_checkin.sleep_quality_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_quality_0_10_misscnt_7d = count(isnull(shift(sleep_quality_0_10_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	sleep_quality_0_10_days_7d	float	derived(user_id time-series)	sleep_quality_0_10_today OR daily_checkin.sleep_quality_0_10_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	sleep_quality_0_10_days_7d = count(notnull(shift(sleep_quality_0_10_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	bedtime_hour_lag1	float	derived(user_id time-series)	bedtime_hour_today OR daily_checkin.bedtime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	bedtime_hour_lag1 = shift(bedtime_hour_today,1)	lag(1 day, same user)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	bedtime_hour_mean_7d	float	derived(user_id time-series)	bedtime_hour_today OR daily_checkin.bedtime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	bedtime_hour_mean_7d = mean(shift(bedtime_hour_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	bedtime_hour_std_7d	float	derived(user_id time-series)	bedtime_hour_today OR daily_checkin.bedtime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	bedtime_hour_std_7d = std(shift(bedtime_hour_today,1) over past 7d)	rolling 7 days excluding today (min 2)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	bedtime_hour_misscnt_7d	float	derived(user_id time-series)	bedtime_hour_today OR daily_checkin.bedtime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	bedtime_hour_misscnt_7d = count(isnull(shift(bedtime_hour_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	bedtime_hour_days_7d	float	derived(user_id time-series)	bedtime_hour_today OR daily_checkin.bedtime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	bedtime_hour_days_7d = count(notnull(shift(bedtime_hour_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	waketime_hour_lag1	float	derived(user_id time-series)	waketime_hour_today OR daily_checkin.waketime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	waketime_hour_lag1 = shift(waketime_hour_today,1)	lag(1 day, same user)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	waketime_hour_mean_7d	float	derived(user_id time-series)	waketime_hour_today OR daily_checkin.waketime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	waketime_hour_mean_7d = mean(shift(waketime_hour_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	waketime_hour_std_7d	float	derived(user_id time-series)	waketime_hour_today OR daily_checkin.waketime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	waketime_hour_std_7d = std(shift(waketime_hour_today,1) over past 7d)	rolling 7 days excluding today (min 2)	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	waketime_hour_misscnt_7d	float	derived(user_id time-series)	waketime_hour_today OR daily_checkin.waketime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	waketime_hour_misscnt_7d = count(isnull(shift(waketime_hour_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	waketime_hour_days_7d	float	derived(user_id time-series)	waketime_hour_today OR daily_checkin.waketime_hour_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	waketime_hour_days_7d = count(notnull(shift(waketime_hour_today,1)) over past 7d)	rolling 7 days excluding today	ins proxy 타깃과 동기간 값은 누수; 여기서는 과거 7일(전일까지)만 사용
train_user_day_nowcast	caffeine_after_2pm_flag_lag1	float	derived(user_id time-series)	caffeine_after_2pm_flag_today OR daily_checkin.caffeine_after_2pm_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	caffeine_after_2pm_flag_lag1 = shift(caffeine_after_2pm_flag_today,1)	lag(1 day, same user)	
train_user_day_nowcast	caffeine_after_2pm_flag_mean_7d	float	derived(user_id time-series)	caffeine_after_2pm_flag_today OR daily_checkin.caffeine_after_2pm_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	caffeine_after_2pm_flag_mean_7d = mean(shift(caffeine_after_2pm_flag_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	
train_user_day_nowcast	caffeine_after_2pm_flag_std_7d	float	derived(user_id time-series)	caffeine_after_2pm_flag_today OR daily_checkin.caffeine_after_2pm_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	caffeine_after_2pm_flag_std_7d = std(shift(caffeine_after_2pm_flag_today,1) over past 7d)	rolling 7 days excluding today (min 2)	
train_user_day_nowcast	caffeine_after_2pm_flag_misscnt_7d	float	derived(user_id time-series)	caffeine_after_2pm_flag_today OR daily_checkin.caffeine_after_2pm_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	caffeine_after_2pm_flag_misscnt_7d = count(isnull(shift(caffeine_after_2pm_flag_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	caffeine_after_2pm_flag_days_7d	float	derived(user_id time-series)	caffeine_after_2pm_flag_today OR daily_checkin.caffeine_after_2pm_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	caffeine_after_2pm_flag_days_7d = count(notnull(shift(caffeine_after_2pm_flag_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	alcohol_flag_lag1	float	derived(user_id time-series)	alcohol_flag_today OR daily_checkin.alcohol_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	alcohol_flag_lag1 = shift(alcohol_flag_today,1)	lag(1 day, same user)	
train_user_day_nowcast	alcohol_flag_mean_7d	float	derived(user_id time-series)	alcohol_flag_today OR daily_checkin.alcohol_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	alcohol_flag_mean_7d = mean(shift(alcohol_flag_today,1) over past 7d)	rolling 7 days excluding today (t-1..t-7)	
train_user_day_nowcast	alcohol_flag_std_7d	float	derived(user_id time-series)	alcohol_flag_today OR daily_checkin.alcohol_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	alcohol_flag_std_7d = std(shift(alcohol_flag_today,1) over past 7d)	rolling 7 days excluding today (min 2)	
train_user_day_nowcast	alcohol_flag_misscnt_7d	float	derived(user_id time-series)	alcohol_flag_today OR daily_checkin.alcohol_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	alcohol_flag_misscnt_7d = count(isnull(shift(alcohol_flag_today,1)) over past 7d)	rolling 7 days excluding today	
train_user_day_nowcast	alcohol_flag_days_7d	float	derived(user_id time-series)	alcohol_flag_today OR daily_checkin.alcohol_flag_0_10 OR sleep/activity/cbt/challenge day agg	user_id,date	alcohol_flag_days_7d = count(notnull(shift(alcohol_flag_today,1)) over past 7d)	rolling 7 days excluding today	
